SchoolYear,NameHospital,Sex,EpiUnderweight,EpiHealthyWeight,EpiOverweight,EpiObese,EpiOverweightAndObese,ValidCounts,UnvalidCounts,TotalCounts
2001,Borders,Female,2,334,54,28,82,418,82,500
2001,Borders,Male,5,301,63,42,105,411,105,516
2001,Lothian,Female,12,728,133,106,239,979,239,1218
2001,Lothian,Male,17,681,124,114,238,936,238,1174
2001,Fife,Female,17,1361,231,155,386,1764,386,2150
2001,Fife,Male,24,1365,244,219,463,1852,463,2315
2001,Lanarkshire,Female,57,2280,319,287,606,2943,606,3549
2001,Lanarkshire,Male,72,2231,347,281,628,2931,628,3558
2002,Lothian,Female,10,634,125,107,232,876,232,1108
2002,Lothian,Male,23,611,126,105,231,865,231,1096
2002,Fife,Female,9,1275,206,189,395,1679,395,2074
2002,Fife,Male,20,1229,239,178,417,1666,417,2083
2002,Tayside,Female,19,1574,247,192,439,2032,439,2477
2002,Tayside,Male,41,1600,267,201,468,2109,468,2577
2002,Lanarkshire,Female,65,2352,359,275,634,3051,634,3685
2002,Lanarkshire,Male,79,2472,409,302,711,3262,711,3973
2003,Borders,Female,3,377,67,44,111,491,111,602
2003,Borders,Male,6,400,83,39,122,528,122,650
2003,Lothian,Female,10,631,99,73,172,813,172,985
2003,Lothian,Male,20,629,105,83,188,837,188,1025
2003,Western Isles,Female,1,80,11,10,21,102,21,123
2003,Western Isles,Male,0,58,12,7,19,77,19,96
2003,Fife,Female,9,1306,236,184,420,1735,420,2155
2003,Fife,Male,17,1256,236,175,411,1684,411,2095
2003,Tayside,Female,26,1511,237,189,426,1963,426,2389
2003,Tayside,Male,39,1540,247,235,482,2061,482,2543
2003,Lanarkshire,Female,48,2362,380,337,717,3127,717,3844
2003,Lanarkshire,Male,96,2397,395,344,739,3232,739,3971
2004,Borders,Female,8,427,82,53,135,570,135,705
2004,Borders,Male,6,405,81,70,151,562,151,713
2004,Dumfries and Galloway,Female,9,342,72,54,126,477,126,603
2004,Dumfries and Galloway,Male,10,417,69,48,117,544,117,661
2004,Lothian,Female,31,2660,405,366,771,3462,771,4233
2004,Lothian,Male,61,2558,469,393,862,3481,862,4343
2004,Western Isles,Female,0,7,2,3,5,12,5,17
2004,Western Isles,Male,0,8,0,2,2,10,2,12
2004,Fife,Female,7,1254,212,163,375,1636,375,2011
2004,Fife,Male,23,1349,295,188,483,1855,483,2338
2004,Tayside,Female,19,1461,211,190,401,1881,401,2282
2004,Tayside,Male,31,1521,229,206,435,1987,435,2422
2004,Lanarkshire,Female,55,2312,343,294,637,3004,637,3641
2004,Lanarkshire,Male,92,2340,333,345,678,3110,678,3788
2005,Borders,Female,5,407,57,50,107,519,107,626
2005,Borders,Male,8,459,61,72,133,600,133,733
2005,Dumfries and Galloway,Female,5,510,81,54,135,650,135,785
2005,Dumfries and Galloway,Male,6,456,93,72,165,627,165,792
2005,Forth Valley,Female,20,1132,173,139,312,1464,312,1776
2005,Forth Valley,Male,31,1094,197,165,362,1487,362,1849
2005,Lothian,Female,54,2651,418,302,720,3425,720,4145
2005,Lothian,Male,58,2602,449,411,860,3520,860,4380
2005,Western Isles,Female,1,44,9,5,14,59,14,73
2005,Western Isles,Male,0,49,10,8,18,67,18,85
2005,Fife,Female,10,1241,246,200,446,1697,446,2143
2005,Fife,Male,13,1304,293,271,564,1881,564,2445
2005,Tayside,Female,25,1407,241,188,429,1861,429,2290
2005,Tayside,Male,32,1445,267,207,474,1951,474,2425
2005,Lanarkshire,Female,49,2269,340,270,610,2928,610,3538
2005,Lanarkshire,Male,70,2200,354,296,650,2920,650,3570
2006,Borders,Female,2,444,55,54,109,555,109,664
2006,Borders,Male,3,415,81,49,130,548,130,678
2006,Dumfries and Galloway,Female,5,424,81,53,134,563,134,697
2006,Dumfries and Galloway,Male,6,472,88,82,170,648,170,818
2006,Forth Valley,Female,13,1065,136,130,266,1344,266,1610
2006,Forth Valley,Male,7,1130,195,132,327,1464,327,1791
2006,Lothian,Female,23,1980,336,246,582,2585,582,3167
2006,Lothian,Male,42,1868,343,302,645,2555,645,3200
2006,Western Isles,Female,3,111,14,19,33,147,33,180
2006,Western Isles,Male,2,107,11,11,22,131,22,153
2006,Fife,Female,8,1207,216,180,396,1611,396,2007
2006,Fife,Male,13,1218,226,214,440,1671,440,2111
2006,Tayside,Female,23,1507,245,156,401,1931,401,2332
2006,Tayside,Male,43,1517,262,209,471,2031,471,2502
2006,Greater Glasgow and Clyde,Female,15,643,98,71,169,827,169,996
2006,Greater Glasgow and Clyde,Male,30,612,91,72,163,805,163,968
2006,Lanarkshire,Female,61,2157,286,242,528,2746,528,3274
2006,Lanarkshire,Male,89,2158,320,275,595,2842,595,3437
2007,Ayrshire and Arran,Female,21,1205,189,154,343,1569,343,1912
2007,Ayrshire and Arran,Male,33,1218,193,163,356,1607,356,1963
2007,Borders,Female,4,413,48,52,100,517,100,617
2007,Borders,Male,6,441,64,42,106,553,106,659
2007,Dumfries and Galloway,Female,4,492,88,62,150,646,150,796
2007,Dumfries and Galloway,Male,3,507,109,69,178,688,178,866
2007,Forth Valley,Female,19,1011,135,88,223,1253,223,1476
2007,Forth Valley,Male,19,1081,132,129,261,1361,261,1622
2007,Lothian,Female,18,1845,315,227,542,2405,542,2947
2007,Lothian,Male,38,1943,348,299,647,2628,647,3275
2007,Western Isles,Female,2,94,17,18,35,131,35,166
2007,Western Isles,Male,2,80,12,11,23,105,23,128
2007,Fife,Female,7,1307,214,170,384,1698,384,2082
2007,Fife,Male,10,1371,272,200,472,1853,472,2325
2007,Tayside,Female,28,1447,184,149,333,1808,333,2141
2007,Tayside,Male,38,1448,233,162,395,1881,395,2276
2007,Greater Glasgow and Clyde,Female,26,655,77,47,124,805,124,929
2007,Greater Glasgow and Clyde,Male,32,619,69,66,135,786,135,921
2007,Lanarkshire,Female,73,2231,343,229,572,2876,572,3448
2007,Lanarkshire,Male,90,2218,299,278,577,2885,577,3462
2008,Ayrshire and Arran,Female,31,1349,164,138,302,1682,302,1984
2008,Ayrshire and Arran,Male,42,1334,196,140,336,1712,336,2048
2008,Borders,Female,6,400,72,38,110,516,110,626
2008,Borders,Male,4,426,62,54,116,546,116,662
2008,Dumfries and Galloway,Female,6,525,77,76,153,684,153,837
2008,Dumfries and Galloway,Male,14,525,85,70,155,694,155,849
2008,Forth Valley,Female,11,1190,176,136,312,1513,312,1825
2008,Forth Valley,Male,21,1216,180,140,320,1557,320,1877
2008,Highland,Female,12,1081,180,152,332,1425,332,1757
2008,Highland,Male,15,1026,216,168,384,1425,384,1809
2008,Lothian,Female,30,2693,439,330,769,3492,769,4261
2008,Lothian,Male,78,2780,462,395,857,3715,857,4572
2008,Shetland,Female,1,95,11,9,20,116,20,136
2008,Shetland,Male,3,95,14,13,27,125,27,152
2008,Western Isles,Female,6,88,13,13,26,120,26,146
2008,Western Isles,Male,1,94,15,14,29,124,29,153
2008,Fife,Female,6,1238,188,140,328,1572,328,1900
2008,Fife,Male,12,1198,224,141,365,1575,365,1940
2008,Tayside,Female,26,1464,218,186,404,1894,404,2298
2008,Tayside,Male,41,1538,247,224,471,2050,471,2521
2008,Greater Glasgow and Clyde,Female,17,644,76,54,130,791,130,921
2008,Greater Glasgow and Clyde,Male,23,683,78,62,140,846,140,986
2008,Lanarkshire,Female,89,2409,281,236,517,3015,517,3532
2008,Lanarkshire,Male,122,2441,315,261,576,3139,576,3715
2009,Ayrshire and Arran,Female,21,1294,207,161,368,1683,368,2051
2009,Ayrshire and Arran,Male,35,1272,232,180,412,1719,412,2131
2009,Borders,Female,5,417,85,52,137,559,137,696
2009,Borders,Male,10,438,77,56,133,581,133,714
2009,Dumfries and Galloway,Female,1,552,109,65,174,727,174,901
2009,Dumfries and Galloway,Male,2,527,100,102,202,731,202,933
2009,Forth Valley,Female,12,1153,176,144,320,1485,320,1805
2009,Forth Valley,Male,17,1204,218,130,348,1569,348,1917
2009,Grampian,Female,27,1897,251,221,472,2396,472,2868
2009,Grampian,Male,46,1961,285,252,537,2544,537,3081
2009,Highland,Female,6,1090,199,157,356,1452,356,1808
2009,Highland,Male,9,1156,216,179,395,1560,395,1955
2009,Lothian,Female,61,2729,390,307,697,3487,697,4184
2009,Lothian,Male,77,2782,497,377,874,3733,874,4607
2009,Shetland,Female,1,79,11,12,23,103,23,126
2009,Shetland,Male,1,102,13,18,31,134,31,165
2009,Western Isles,Female,1,74,9,14,23,98,23,121
2009,Western Isles,Male,5,78,11,17,28,111,28,139
2009,Fife,Female,7,1369,218,172,390,1766,390,2156
2009,Fife,Male,21,1444,258,211,469,1934,469,2403
2009,Tayside,Female,31,1443,237,181,418,1892,418,2310
2009,Tayside,Male,27,1530,234,202,436,1993,436,2429
2009,Greater Glasgow and Clyde,Female,44,2904,434,353,787,3735,787,4522
2009,Greater Glasgow and Clyde,Male,69,2920,427,339,766,3755,766,4521
2009,Lanarkshire,Female,63,2402,300,230,530,2995,530,3525
2009,Lanarkshire,Male,94,2425,318,263,581,3100,581,3681
2010,Ayrshire and Arran,Female,20,1285,249,186,435,1740,435,2175
2010,Ayrshire and Arran,Male,21,1276,264,229,493,1790,493,2283
2010,Borders,Female,9,416,52,42,94,519,94,613
2010,Borders,Male,7,429,73,48,121,557,121,678
2010,Dumfries and Galloway,Female,1,526,93,62,155,682,155,837
2010,Dumfries and Galloway,Male,3,535,108,77,185,723,185,908
2010,Forth Valley,Female,6,1274,183,134,317,1597,317,1914
2010,Forth Valley,Male,12,1271,188,152,340,1623,340,1963
2010,Grampian,Female,40,2028,252,203,455,2523,455,2978
2010,Grampian,Male,56,2080,298,262,560,2696,560,3256
2010,Highland,Female,6,1059,183,163,346,1411,346,1757
2010,Highland,Male,15,1081,233,165,398,1494,398,1892
2010,Lothian,Female,72,2895,393,368,761,3728,761,4489
2010,Lothian,Male,100,3029,489,394,883,4012,883,4895
2010,Orkney,Female,0,84,12,15,27,111,27,138
2010,Orkney,Male,0,63,14,10,24,87,24,111
2010,Shetland,Female,1,93,13,10,23,117,23,140
2010,Shetland,Male,2,92,21,8,29,123,29,152
2010,Western Isles,Female,3,92,22,14,36,131,36,167
2010,Western Isles,Male,2,85,12,19,31,118,31,149
2010,Fife,Female,12,1420,232,175,407,1839,407,2246
2010,Fife,Male,23,1418,226,219,445,1886,445,2331
2010,Tayside,Female,36,1476,243,185,428,1940,428,2368
2010,Tayside,Male,52,1498,302,234,536,2086,536,2622
2010,Greater Glasgow and Clyde,Female,15,754,92,60,152,921,152,1073
2010,Greater Glasgow and Clyde,Male,39,720,77,78,155,914,155,1069
2010,Lanarkshire,Female,71,2270,257,215,472,2813,472,3285
2010,Lanarkshire,Male,120,2286,279,258,537,2943,537,3480
2011,Ayrshire and Arran,Female,15,1362,241,181,422,1799,422,2221
2011,Ayrshire and Arran,Male,33,1391,263,228,491,1915,491,2406
2011,Borders,Female,1,429,67,44,111,541,111,652
2011,Borders,Male,3,440,91,58,149,592,149,741
2011,Dumfries and Galloway,Female,6,530,88,76,164,700,164,864
2011,Dumfries and Galloway,Male,5,567,105,81,186,758,186,944
2011,Forth Valley,Female,10,1154,197,135,332,1496,332,1828
2011,Forth Valley,Male,12,1284,205,149,354,1650,354,2004
2011,Grampian,Female,21,1982,292,242,534,2537,534,3071
2011,Grampian,Male,41,1973,352,263,615,2629,615,3244
2011,Highland,Female,9,1140,180,140,320,1469,320,1789
2011,Highland,Male,14,1140,222,170,392,1546,392,1938
2011,Lothian,Female,27,3114,479,352,831,3972,831,4803
2011,Lothian,Male,59,3133,527,405,932,4124,932,5056
2011,Orkney,Female,1,81,19,17,36,118,36,154
2011,Orkney,Male,0,81,17,17,34,115,34,149
2011,Shetland,Female,2,109,22,15,37,148,37,185
2011,Shetland,Male,2,93,18,10,28,123,28,151
